PathID,GeneID
hsa00280,hsa:501
hsa00280,hsa:5019
hsa00280,hsa:5095
hsa00280,hsa:5096
hsa00280,hsa:54511
hsa00280,hsa:549
hsa00280,hsa:56922
hsa00280,hsa:586
hsa00280,hsa:587
hsa00280,hsa:593
hsa00280,hsa:594
hsa00280,hsa:64064
hsa00280,hsa:64087
hsa00280,hsa:64902
hsa00280,hsa:65985
hsa00280,hsa:84693
hsa00290,hsa:10993
hsa00290,hsa:113675
hsa00290,hsa:586
hsa00290,hsa:587
hsa00300,hsa:501
hsa00300,hsa:51166
hsa00310,hsa:10157
hsa00310,hsa:10919
hsa00310,hsa:11105
hsa00310,hsa:123688
hsa00310,hsa:1743
hsa00310,hsa:1892
hsa00310,hsa:1962
hsa00310,hsa:2145
hsa00310,hsa:2146
hsa00310,hsa:217
hsa00310,hsa:219
hsa00310,hsa:223
hsa00310,hsa:224
hsa00310,hsa:23067
hsa00310,hsa:23127
hsa00310,hsa:2639
hsa00310,hsa:29072
hsa00310,hsa:3030
hsa00310,hsa:3033
hsa00310,hsa:38
hsa00310,hsa:387893
